,Requests/s
0,0.0
1,0.0
2,0.333333
3,0.5
4,0.5
5,0.4
6,0.5
7,0.571429
8,0.666667
9,0.7
10,0.7
11,0.8
12,0.8
13,0.8
14,0.9
15,0.9
16,0.9
17,0.9
18,0.9
19,0.9
20,0.9
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,0.9
28,0.9
29,0.9
30,0.9
31,0.9
32,0.9
33,0.9
34,0.9
35,0.9
36,0.9
37,0.9
38,1.0
39,1.0
40,0.9
41,1.0
42,0.9
43,0.9
44,0.9
45,0.9
46,0.9
47,0.9
48,0.9
49,0.9
50,0.9
51,0.9
52,1.1
53,1.1
54,1.0
55,1.1
56,1.1
57,1.0
58,1.0
59,1.0
60,0.9
61,1.0
62,0.9
63,1.0
64,1.0
65,0.9
66,0.9
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.1
80,1.1
81,1.1
82,1.1
83,1.1
84,1.0
85,1.1
86,1.1
87,1.0
88,0.9
89,0.9
90,0.9
91,0.9
92,0.9
93,1.0
94,0.9
95,0.9
96,0.9
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,0.9
135,0.9
136,0.8
137,0.8
138,0.8
139,0.8
140,0.8
141,0.8
142,0.8
143,0.8
144,0.8
145,0.8
146,0.8
147,0.8
148,0.7
149,0.7
150,0.6
151,0.6
152,0.6
153,0.6
154,0.7
155,0.7
156,0.8
157,0.8
158,0.9
159,0.9
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,0.9
171,0.9
172,0.9
173,0.8
174,0.9
175,0.9
176,0.9
177,0.9
178,0.9
179,0.9
180,0.9
181,0.9
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,0.9
188,0.9
189,1.0
190,1.0
191,1.0
192,0.8
193,0.8
194,0.8
195,0.8
196,0.7
197,0.8
198,0.7
199,0.7
200,0.7
201,0.8
202,0.9
203,0.8
204,0.9
205,0.9
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,0.9
212,0.9
213,0.9
214,0.9
215,0.9
216,0.9
217,0.9
218,0.9
219,0.9
220,0.8
221,0.9
222,0.9
223,0.9
224,0.9
225,0.9
226,0.8
227,0.8
228,0.8
229,0.8
230,0.9
231,0.9
232,0.9
233,0.9
234,0.9
235,0.8
236,0.8
237,0.9
238,0.9
239,0.9
240,0.9
241,0.8
242,0.8
243,0.8
244,0.8
245,0.9
246,0.9
247,0.9
248,0.9
249,0.9
250,0.9
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.1
260,1.1
261,1.0
262,1.0
263,1.0
264,1.1
265,1.1
266,1.1
267,1.0
268,1.1
269,1.1
270,0.9
271,1.0
272,0.9
273,0.9
274,0.9
275,0.8
276,0.9
277,0.9
278,0.7
279,0.7
280,0.7
281,0.7
282,0.8
283,0.7
284,0.7
285,0.7
286,0.7
287,0.7
288,0.8
289,0.8
290,0.9
291,0.9
292,0.8
293,0.8
294,0.9
295,0.9
296,0.9
297,0.9
298,0.7
299,0.7
300,0.7
301,0.7
302,0.7
303,0.7
304,0.7
305,0.7
306,0.7
307,0.7
308,0.7
309,0.7
310,0.7
311,0.7
312,0.7
313,0.7
314,0.7
315,0.7
316,0.7
317,0.7
318,0.7
319,0.0
320,0.0
321,0.0
322,0.1
323,0.2
324,0.2
325,0.3
326,0.5
327,0.6
328,0.6
329,0.7
330,0.7
331,0.8
332,0.9
333,0.9
334,0.8
335,0.8
336,0.8
337,0.8
338,0.9
339,0.9
340,0.9
341,0.8
342,0.8
343,0.8
344,0.8
345,0.8
346,0.9
347,0.8
