,Requests/s
0,0.0
1,0.0
2,17.0
3,21.5
4,23.333333
5,23.75
6,24.2
7,24.666667
8,24.714286
9,24.875
10,25.0
11,24.4
12,25.3
13,25.3
14,25.1
15,25.3
16,25.3
17,25.2
18,25.3
19,25.2
20,25.3
21,26.0
22,26.1
23,26.1
24,25.7
25,25.2
26,25.3
27,25.3
28,25.4
29,25.5
30,25.3
31,25.4
32,25.4
33,25.4
34,26.0
35,26.3
36,26.2
37,26.2
38,26.1
39,26.2
40,26.3
41,26.1
42,26.2
43,26.2
44,26.1
45,26.2
46,26.2
47,26.3
48,26.3
49,26.3
50,26.5
51,26.7
52,26.5
53,26.5
54,26.6
55,26.7
56,26.8
57,26.7
58,26.8
59,26.7
60,26.6
61,26.5
62,26.6
63,26.5
64,26.5
65,26.4
66,26.5
67,26.6
68,26.5
69,26.5
70,26.5
71,26.1
72,26.0
73,26.2
74,26.1
75,26.1
76,25.9
77,26.0
78,26.1
79,26.2
80,26.1
81,26.5
82,26.5
83,26.1
84,26.2
85,26.3
86,26.2
87,26.1
88,26.0
89,25.9
90,26.0
91,26.1
92,26.1
93,26.5
94,26.3
95,26.4
96,26.5
97,26.4
98,26.5
99,26.6
100,26.6
101,26.5
102,26.6
103,26.6
104,26.7
105,26.5
106,26.7
107,26.8
108,26.6
109,26.6
110,26.6
111,26.7
112,26.7
113,26.6
114,26.6
115,26.6
116,26.4
117,26.3
118,26.5
119,26.5
120,26.3
121,26.3
122,26.2
123,26.2
124,26.2
125,26.2
126,26.2
127,26.2
128,26.2
129,26.2
130,26.0
131,25.9
132,26.0
133,26.0
134,26.1
135,26.2
136,26.2
137,26.3
138,26.4
139,26.3
140,26.7
141,26.7
142,26.7
143,26.2
144,26.1
145,25.8
146,24.3
147,22.5
148,20.8
149,20.0
150,20.0
151,20.1
152,20.1
153,20.6
154,20.7
155,21.0
156,22.6
157,24.4
158,26.0
159,26.9
160,26.8
161,26.7
162,26.6
163,26.7
164,26.6
165,26.5
166,26.4
167,26.5
168,26.4
169,26.4
170,26.5
171,26.6
172,26.7
173,26.7
174,26.8
175,26.8
176,26.9
177,26.7
178,26.8
179,26.8
180,26.8
181,26.7
182,26.7
183,26.6
184,26.7
185,26.8
186,26.7
187,26.7
188,26.7
189,26.6
190,26.1
191,26.1
192,26.0
193,26.0
194,25.8
195,25.7
196,25.7
197,25.6
198,25.5
199,25.6
200,26.1
201,26.0
202,26.0
203,26.1
204,26.1
205,26.0
206,25.9
207,26.1
208,26.2
209,26.0
210,26.0
211,26.2
212,26.2
213,26.2
214,25.9
215,26.0
216,26.1
217,26.1
218,26.0
219,26.0
220,25.6
221,25.4
222,25.4
223,25.4
224,25.6
225,25.6
226,25.6
227,25.2
228,24.6
229,24.7
230,25.0
231,25.0
232,25.0
233,25.0
234,24.7
235,24.7
236,24.9
237,25.5
238,25.6
239,25.7
240,25.7
241,25.8
242,25.5
243,25.7
244,25.7
245,26.0
246,26.2
247,25.7
248,25.6
249,25.5
250,25.5
251,25.5
252,25.8
253,25.7
254,25.6
255,25.5
256,25.4
257,26.0
258,26.1
259,26.1
260,26.1
261,26.2
262,26.0
263,26.0
264,26.0
265,26.1
266,26.1
267,26.1
268,26.0
269,26.0
270,26.1
271,26.1
272,26.3
273,26.6
274,26.6
275,26.7
276,26.9
277,26.8
278,26.8
279,27.0
280,26.9
281,26.9
282,26.8
283,26.7
284,26.3
285,26.2
286,26.0
287,26.1
288,26.0
289,25.8
290,25.9
291,26.0
292,26.0
293,25.9
294,26.5
295,26.5
296,26.6
297,26.4
298,26.1
299,26.1
300,26.1
301,25.9
302,26.0
303,26.0
304,25.8
305,25.9
306,25.8
307,26.0
308,26.4
309,26.5
310,26.5
311,26.6
312,26.5
313,26.5
314,26.5
315,26.5
316,26.4
317,26.3
318,26.3
319,26.3
320,26.3
321,26.2
322,26.3
323,26.4
324,26.3
325,26.3
326,26.5
327,26.6
328,26.6
329,26.4
330,26.4
331,26.4
332,25.7
333,25.2
334,25.1
335,25.0
336,24.9
337,24.6
338,24.5
339,23.8
340,22.2
341,21.1
342,21.6
343,21.5
344,21.5
345,21.5
346,21.4
347,21.7
348,21.9
349,22.6
