,Requests/s
0,0.0
1,0.0
2,0.0
3,2.5
4,3.666667
5,4.0
6,4.2
7,4.5
8,4.571429
9,4.75
10,4.777778
11,4.8
12,5.4
13,5.4
14,5.3
15,5.3
16,5.3
17,5.2
18,5.2
19,5.2
20,5.1
21,5.1
22,4.9
23,5.0
24,5.0
25,5.0
26,5.0
27,5.0
28,5.0
29,4.9
30,5.0
31,5.0
32,5.2
33,5.1
34,5.1
35,5.2
36,5.2
37,5.2
38,5.3
39,5.3
40,5.3
41,5.3
42,5.3
43,5.3
44,5.3
45,5.2
46,5.3
47,5.3
48,5.3
49,5.1
50,5.1
51,5.1
52,5.0
53,4.9
54,4.9
55,4.8
56,4.9
57,4.9
58,4.9
59,5.1
60,5.1
61,5.1
62,5.2
63,5.2
64,5.1
65,5.2
66,5.2
67,5.1
68,5.1
69,5.1
70,5.2
71,5.2
72,5.1
73,5.3
74,5.4
75,5.3
76,5.4
77,5.4
78,5.4
79,5.4
80,5.3
81,5.3
82,5.4
83,5.3
84,5.3
85,5.3
86,5.2
87,5.3
88,5.2
89,5.2
90,5.2
91,5.2
92,5.1
93,5.1
94,5.1
95,5.1
96,5.2
97,5.1
98,5.1
99,5.1
100,5.1
101,5.2
102,5.2
103,5.2
104,5.2
105,5.3
106,5.2
107,5.2
108,5.3
109,5.3
110,5.3
111,5.2
112,5.2
113,5.3
114,5.3
115,5.3
116,5.3
117,5.3
118,5.2
119,5.3
120,5.3
121,5.3
122,5.3
123,5.2
124,5.3
125,5.2
126,5.2
127,5.2
128,5.2
129,5.1
130,5.1
131,5.1
132,5.2
133,5.2
134,5.1
135,5.2
136,5.2
137,5.2
138,5.3
139,5.3
140,5.3
141,5.3
142,5.2
143,5.2
144,5.2
145,5.2
146,5.2
147,5.2
148,5.1
149,5.1
150,5.1
151,5.1
152,5.0
153,5.0
154,5.0
155,4.9
156,4.7
157,4.7
158,4.6
159,4.6
160,4.6
161,4.6
162,4.8
163,4.8
164,4.8
165,4.8
166,5.0
167,5.0
168,5.1
169,5.1
170,5.1
171,5.2
172,5.1
173,5.1
174,5.2
175,5.2
176,5.2
177,5.2
178,5.2
179,5.2
180,5.1
181,5.1
182,5.1
183,5.1
184,5.0
185,5.1
186,5.1
187,5.1
188,5.1
189,5.2
190,5.3
191,5.2
192,5.3
193,5.3
194,5.4
195,5.3
196,5.3
197,5.4
198,5.4
199,5.4
200,5.4
201,5.4
202,5.4
203,5.4
204,5.3
205,5.3
206,5.4
207,5.3
208,5.3
209,5.3
210,5.3
211,5.3
212,5.2
213,5.2
214,5.2
215,5.1
216,5.0
217,5.1
218,5.1
219,5.0
220,5.0
221,5.0
222,5.0
223,4.9
224,4.9
225,5.0
226,5.0
227,5.0
228,5.0
229,5.0
230,5.0
231,5.1
232,5.1
233,5.2
234,5.3
235,5.3
236,5.3
237,5.3
238,5.3
239,5.3
240,5.2
241,5.1
242,5.1
243,5.2
244,5.1
245,5.1
246,5.2
247,5.1
248,5.1
249,5.2
250,5.3
251,5.4
252,5.4
253,5.3
254,5.4
255,5.4
256,5.3
257,5.3
258,5.4
259,5.3
260,5.3
261,5.3
262,5.3
263,5.3
264,5.3
265,5.3
266,5.3
267,5.3
268,5.3
269,5.3
270,5.3
271,5.1
272,5.1
273,5.1
274,5.0
275,5.1
276,5.1
277,5.1
278,5.0
279,5.1
280,5.0
281,5.1
282,5.1
283,5.2
284,5.2
285,5.1
286,5.2
287,5.2
288,5.2
289,5.1
290,5.1
291,5.0
292,4.8
293,4.6
294,4.3
295,4.2
296,4.0
297,3.9
298,3.8
299,3.8
300,3.9
301,4.0
302,4.2
303,4.3
304,4.6
305,4.7
306,4.7
307,4.8
308,4.9
309,4.9
310,4.9
311,4.9
312,4.9
313,5.0
314,5.0
315,4.9
316,5.0
317,5.0
318,5.1
319,5.1
320,5.1
321,5.2
322,5.2
323,5.1
324,5.2
325,5.3
326,5.4
327,5.4
328,5.3
329,5.3
330,5.2
331,5.2
332,5.1
333,5.1
334,4.9
335,4.8
336,4.8
337,4.7
338,4.8
339,4.8
340,4.9
341,4.8
342,5.0
343,5.0
344,5.1
345,5.2
346,5.2
347,5.3
348,5.3
349,5.3
