,Requests/s
0,0.0
1,0.0
2,0.0
3,1.5
4,1.5
5,1.666667
6,1.8
7,1.833333
8,1.714286
9,1.75
10,1.888889
11,2.0
12,2.1
13,2.1
14,2.1
15,2.1
16,2.3
17,2.4
18,2.5
19,2.6
20,2.5
21,2.5
22,2.5
23,2.8
24,2.8
25,2.7
26,2.5
27,2.4
28,2.4
29,2.3
30,2.5
31,2.4
32,2.4
33,2.4
34,2.3
35,2.4
36,2.4
37,2.5
38,2.7
39,2.7
40,2.6
41,2.7
42,2.6
43,2.6
44,2.6
45,2.5
46,2.5
47,2.4
48,2.2
49,2.2
50,2.2
51,2.1
52,2.0
53,2.1
54,2.2
55,2.3
56,2.3
57,2.5
58,2.6
59,2.6
60,2.5
61,2.5
62,2.7
63,2.6
64,2.6
65,2.5
66,2.4
67,2.3
68,2.2
69,2.2
70,2.3
71,2.2
72,2.1
73,2.1
74,2.0
75,2.0
76,2.0
77,2.1
78,2.2
79,2.1
80,2.0
81,2.1
82,2.1
83,2.2
84,2.2
85,2.2
86,2.2
87,2.1
88,2.0
89,2.1
90,2.2
91,2.2
92,2.2
93,2.1
94,2.0
95,2.1
96,2.1
97,2.1
98,2.2
99,2.3
100,2.3
101,2.3
102,2.3
103,2.3
104,2.5
105,2.4
106,2.4
107,2.4
108,2.3
109,2.2
110,2.1
111,2.1
112,2.0
113,2.1
114,2.0
115,2.0
116,2.0
117,2.0
118,2.1
119,2.1
120,2.1
121,2.1
122,2.3
123,2.2
124,2.1
125,2.1
126,2.2
127,2.1
128,2.0
129,2.0
130,2.0
131,2.1
132,2.0
133,2.1
134,2.1
135,2.1
136,2.0
137,2.2
138,2.3
139,2.3
140,2.4
141,2.4
142,2.4
143,2.3
144,2.4
145,2.5
146,2.5
147,2.4
148,2.3
149,2.3
150,2.2
151,2.2
152,2.2
153,2.2
154,2.3
155,2.2
156,2.3
157,2.4
158,2.5
159,2.5
160,2.6
161,2.6
162,2.5
163,2.5
164,2.4
165,2.5
166,2.4
167,2.3
168,2.3
169,2.3
170,2.1
171,2.1
172,2.2
173,2.2
174,2.2
175,2.2
176,2.3
177,2.3
178,2.3
179,2.5
180,2.5
181,2.5
182,2.6
183,2.6
184,2.6
185,2.5
186,2.5
187,2.4
188,2.4
189,2.2
190,2.2
191,2.1
192,2.1
193,2.1
194,2.2
195,2.1
196,2.1
197,2.1
198,2.2
199,2.6
200,2.6
201,2.5
202,2.5
203,2.7
204,2.7
205,2.6
206,2.6
207,2.6
208,2.5
209,2.4
210,2.4
211,2.4
212,2.4
213,2.1
214,2.2
215,2.2
216,2.1
217,2.2
218,2.5
219,2.3
220,2.3
221,2.3
222,2.3
223,2.5
224,2.5
225,2.4
226,2.4
227,2.2
228,2.2
229,2.1
230,2.3
231,2.4
232,2.3
233,2.4
234,2.5
235,2.7
236,2.7
237,2.8
238,3.0
239,3.1
240,2.9
241,2.9
242,3.0
243,3.0
244,2.8
245,2.8
246,2.7
247,2.7
248,2.6
249,2.5
250,2.6
251,2.6
252,2.6
253,2.6
254,2.6
255,2.6
256,2.6
257,2.7
258,2.8
259,2.7
260,2.7
261,2.7
262,2.6
263,2.6
264,2.6
265,2.6
266,2.6
267,2.4
268,2.4
269,2.4
270,2.3
271,2.2
272,2.2
273,2.2
274,2.2
275,2.0
276,2.1
277,2.1
278,2.1
279,2.2
280,2.3
281,2.3
282,2.4
283,2.4
284,2.4
285,2.5
286,2.5
287,2.4
288,2.4
289,2.2
290,2.1
291,2.1
292,2.1
293,2.1
294,2.2
295,2.2
296,2.2
297,2.2
298,2.2
299,2.3
300,2.3
301,2.4
302,2.4
303,2.4
304,2.4
305,2.4
306,2.4
307,2.3
308,2.3
309,2.3
310,2.4
311,2.3
312,2.3
313,2.4
314,2.2
315,2.2
316,2.3
317,2.5
318,2.4
319,2.5
320,2.5
321,2.6
322,2.5
323,2.4
324,2.5
325,2.5
326,2.4
327,2.3
328,2.3
329,2.3
330,2.2
331,2.2
332,2.3
333,2.3
334,2.2
335,2.2
336,2.2
337,2.2
338,2.1
339,2.2
340,2.2
341,2.0
342,2.0
343,2.0
344,2.1
345,2.1
346,2.1
347,2.2
348,2.4
349,2.3
